_id,name,brand,condition,packageWeight_kg,packageWeight_lb,price,calories,breed,animalSize,lifeStage,picture
001,Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food,Royal Canin,,13.6,,122.99,447,Golden Retriever,All,Puppy,https://s7d2.scene7.com/is/image/PetSmart/5184508?$CLEARjpg$
002,Blue Buffalo® Basics™ Small Breed Adult Dry Dog Food - Natural, Turkey,Blue Buffalo,,1.8,,30.99,453,All,Small,Adult,https://s7d2.scene7.com/is/image/PetSmart/5168412?$CLEARjpg$
003,Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food,Royal Canin,,13.6,,122.99,327,German Shepherd,All,Adult,https://s7d2.scene7.com/is/image/PetSmart/5211606?$CLEARjpg$
004,Royal Canin® Size Health Nutrition Large Adult 5+ Dry Dog Food,Royal Canin,,13.6,,122.99,414,All,Large,Adult,https://s7d2.scene7.com/is/image/PetSmart/5199271?$CLEARjpg$
005,Royal Canin® Breed Health Nutrition® Chihuahua Adult Dry Dog Food,Royal Canin,,1.1,,34.99,424,Chihuahua,X-Small,Adult,https://s7d2.scene7.com/is/image/PetSmart/5173226?$CLEARjpg$
006,Royal Canin® Breed Health Nutrition® Boxer Adult Dry Dog Food,Royal Canin,,13.6,,122.99,347,Boxer,All,Adult,https://s7d2.scene7.com/is/image/PetSmart/5211607?$CLEARjpg$
007,Royal Canin® Breed Health Nutrition® Shih Tzu Adult Breed Specific Dry Dog Food,Royal Canin,,4.5,,84.99,352,Shih Tzu,All,Adult,https://s7d2.scene7.com/is/image/PetSmart/5150128?$CLEARjpg$
008,Blue Buffalo® Life Protection Formula™ Senior Dry Dog Food - Natural, Chicken,Blue Buffalo,,6.8,,52.99,381,All,All,Senior,https://s7d2.scene7.com/is/image/PetSmart/5066972?$CLEARjpg$
009,Nutrience® Grain Free Ocean Fish Small Breed Dog Food,Nutrience,Food Allergy,5,,44.99,374,All,Small,All,https://s7d2.scene7.com/is/image/PetSmart/5229710?$CLEARjpg$
010,Blue Buffalo® Life Protection Formula™ Adult Dry Dog Food - Natural, Chicken,Blue Buffalo,,11.7,,66.99,349,All,All,Adult,https://s7d2.scene7.com/is/image/PetSmart/5288675?$CLEARjpg$
011,Authority® Everyday Health All Life Stage Dry Dog Food - Grain Free, Chicken & Pea,Authority,Food Allergy,13.6,,78.99,374,All,All,All,https://s7d2.scene7.com/is/image/PetSmart/5304996?$CLEARjpg$
012,Authority® Everyday Health Small Breed Adult Dry Dog Food - Chicken,Authority,,13.6,,78.99,474,All,Small,Adult,https://s7d2.scene7.com/is/image/PetSmart/5267129?$CLEARjpg$
013,Authority® Sensitive Stomach & Skin All Life Stage Dry Dog Food - Lamb,Authority,Sensitive Stomach & Skin,2.72,,25.99,389,All,All,All,https://s7d2.scene7.com/is/image/PetSmart/5309277?$CLEARjpg$
014,Authority Sensitive Stomach & Skin Large Breed All Life Stage Dry Dog Food - Salmon,Authority,Sensitive Stomach & Skin,8.16,,50.99,474,All,Large,All,https://s7d2.scene7.com/is/image/PetSmart/5333996?$CLEARjpg$
015,Royal Canin® Weight Care Medium Breed Dry Dog Food,Royal Canin,Overweight,13.6,,126.99,474,All,Medium,Adult,https://s7d2.scene7.com/is/image/PetSmart/5336244?$CLEARjpg$
